,ratio,method,gene,color
0,0.8154270052909851,starmap,oprk1,red
1,0.8202949166297913,starmap,satb2,red
2,1.0108526945114136,starmap,fn1,red
3,1.1608848571777344,starmap,prox1,red
4,0.5372340083122253,starmap,mrc1,red
5,0.3785470128059387,starmap,gad2,red
6,0.7611408233642578,starmap,lhx6,red
7,0.9930092692375183,starmap,tbr1,red
8,0.7707928419113159,starmap,gad1,red
9,1.2416452169418335,starmap,dlx1,red
10,0.727401852607727,starmap,pde1a,red
11,0.9232181906700134,starmap,bdnf,red
12,0.7672562599182129,starmap,lamp5,red
13,1.77338707447052,starmap,slc32a1,red
14,0.4652174115180969,starmap,crh,red
15,0.7158141732215881,starmap,kcnmb2,red
16,0.8359201550483704,starmap,rxfp1,red
17,1.3895759582519531,starmap,npy2r,red
18,0.9372637867927551,starmap,syt6,red
19,1.3379230499267578,starmap,penk,red
20,0.741456151008606,starmap,tox,red
21,0.889305055141449,starmap,calb1,red
22,1.4408783912658691,starmap,cnr1,red
23,0.7909199595451355,starmap,rab3b,red
24,0.9204792976379395,starmap,rspo1,red
25,0.8852071166038513,starmap,sema3e,red
26,0.6083333492279053,starmap,reln,red
27,0.8329181671142578,starmap,pdgfra,red
28,0.9710648059844971,starmap,parm1,red
29,0.8730936646461487,starmap,nos1,red
30,1.0910770893096924,starmap,cux2,red
31,0.2416020780801773,starmap,flt1,red
32,0.4594671428203583,starmap,foxp2,red
33,0.7204301357269287,starmap,chrm2,red
34,1.2258310317993164,starmap,npy,red
35,1.21074378490448,starmap,crhr2,red
36,0.7696078419685364,starmap,tacr1,red
37,1.2281553745269775,starmap,itpr2,red
38,1.3099173307418823,starmap,pthlh,red
39,1.2849446535110474,starmap,slc17a7,red
40,0.9735591411590576,starmap,slc17a6,red
41,0.9263989925384521,starmap,nr2f2,red
42,1.319506049156189,starmap,mfge8,red
43,0.37726837396621704,starmap,grm5,red
44,1.2947019338607788,starmap,th,red
45,0.6318897604942322,starmap,calb2,red
46,0.4039387106895447,starmap,vip,red
47,0.690613865852356,starmap,grm1,red
48,0.9530848860740662,starmap,man1a,red
49,0.9066506028175354,starmap,slc17a8,red
50,1.0664819478988647,starmap,dcn,red
51,0.9210651516914368,starmap,nxph4,red
52,1.3381056785583496,starmap,serpinf1,red
53,2.903719186782837,starmap,vtn,red
54,1.4104290008544922,starmap,gfap,red
55,0.8444741368293762,starmap,ntsr2,red
56,0.6903169751167297,starmap,id2,red
57,1.504246711730957,starmap,fos,red
58,0.6770895719528198,starmap,bcl11b,red
59,0.8045375347137451,starmap,vipr2,red
60,0.44443389773368835,starmap,cxcl14,red
61,1.1867469549179077,starmap,fezf2,red
62,0.715804398059845,starmap,synpr,red
63,1.1818181276321411,starmap,chat,red
64,0.8135169148445129,starmap,sncg,red
65,0.868863046169281,starmap,deptor,red
66,0.44472736120224,starmap,pvalb,red
67,0.7547169327735901,starmap,igfbp6,red
68,0.49782079458236694,starmap,cldn5,red
69,1.0426251888275146,starmap,sst,red
70,0.778313398361206,starmap,alcam,red
71,0.7879559397697449,starmap,chodl,red
72,0.2032375931739807,starmap,pcp4,red
73,0.7863984704017639,starmap,trem2,red
74,0.8344907760620117,starmap,galnt14,red
75,1.0947778224945068,starmap,aqp4,red
76,0.009558137506246567,starmap,ttr,red
77,0.8125,starmap,gpr17,red
78,0.7341150045394897,starmap,csf1r,red
79,0.3896103799343109,starmap,rorb,red
80,0.2557319402694702,starmap,acta2,red
0,5.161445140838623,allen_smfish,satb2,purple
1,1.640674114227295,allen_smfish,prox1,purple
2,2.190542459487915,allen_smfish,gad2,purple
3,3.4507577419281006,allen_smfish,lhx6,purple
4,3.5267739295959473,allen_smfish,pde1a,purple
5,2.9764862060546875,allen_smfish,sema3e,purple
6,2.158315658569336,allen_smfish,parm1,purple
7,6.410297393798828,allen_smfish,cux2,purple
8,1.3128502368927002,allen_smfish,thsd7a,purple
9,1.721017837524414,allen_smfish,foxp2,purple
10,8.90408706665039,allen_smfish,fezf2,purple
11,2.3005623817443848,allen_smfish,pvalb,purple
12,7.622783184051514,allen_smfish,alcam,purple
13,1.222572684288025,allen_smfish,chodl,purple
14,3.9239823818206787,allen_smfish,galnt14,purple
15,2.7956483364105225,allen_smfish,rorb,purple
0,0.7222222685813904,allen_merFISH,oprk1,orangered
1,1.1908669471740723,allen_merFISH,satb2,orangered
2,0.8088235259056091,allen_merFISH,prox1,orangered
3,0.3545454740524292,allen_merFISH,mrc1,orangered
